Studio,Year,Oscar_winners
BV,1990,1.0
BV,1991,1.0
BV,1992,1.0
BV,1993,0.0
BV,1994,2.0
BV,1995,2.0
BV,1996,1.0
BV,1997,0.0
BV,1998,0.0
BV,1999,1.0
BV,2000,0.0
BV,2001,0.0
BV,2002,0.0
BV,2003,1.0
BV,2004,0.0
BV,2005,0.0
BV,2006,1.0
BV,2007,1.0
BV,2008,0.0
BV,2009,1.0
BV,2010,2.0
BV,2011,1.0
BV,2012,1.0
BV,2013,1.0
BV,2014,1.0
BV,2015,1.0
BV,2016,2.0
BV,2017,2.0
Fox,1990,0.0
Fox,1991,0.0
Fox,1992,2.0
Fox,1993,1.0
Fox,1994,1.0
Fox,1995,0.0
Fox,1996,1.0
Fox,1997,1.0
Fox,1998,0.0
Fox,1999,0.0
Fox,2000,0.0
Fox,2001,1.0
Fox,2002,0.0
Fox,2003,1.0
Fox,2004,1.0
Fox,2005,1.0
Fox,2006,1.0
Fox,2007,1.0
Fox,2008,1.0
Fox,2009,1.0
Fox,2010,1.0
Fox,2011,1.0
Fox,2012,1.0
Fox,2013,1.0
Fox,2014,2.0
Fox,2015,1.0
Fox,2016,0.0
Fox,2017,1.0
Paramount,1990,2.0
Paramount,1991,0.0
Paramount,1992,0.0
Paramount,1993,0.0
Paramount,1994,1.0
Paramount,1995,1.0
Paramount,1996,1.0
Paramount,1997,1.0
Paramount,1998,1.0
Paramount,1999,1.0
Paramount,2000,1.0
Paramount,2001,0.0
Paramount,2002,0.0
Paramount,2003,0.0
Paramount,2004,0.0
Paramount,2005,0.0
Paramount,2006,1.0
Paramount,2007,1.0
Paramount,2008,1.0
Paramount,2009,0.0
Paramount,2010,1.0
Paramount,2011,2.0
Paramount,2012,0.0
Paramount,2013,0.0
Paramount,2014,2.0
Paramount,2015,1.0
Paramount,2016,1.0
Paramount,2017,0.0
Sony,1990,1.0
Sony,1991,2.0
Sony,1992,4.0
Sony,1993,2.0
Sony,1994,0.0
Sony,1995,1.0
Sony,1996,0.0
Sony,1997,4.0
Sony,1998,0.0
Sony,1999,0.0
Sony,2000,0.0
Sony,2001,1.0
Sony,2002,0.0
Sony,2003,0.0
Sony,2004,1.0
Sony,2005,2.0
Sony,2006,0.0
Sony,2007,0.0
Sony,2008,0.0
Sony,2009,0.0
Sony,2010,1.0
Sony,2011,2.0
Sony,2012,2.0
Sony,2013,1.0
Sony,2014,0.0
Sony,2015,1.0
Sony,2016,0.0
Sony,2017,0.0
Universal,1990,0.0
Universal,1991,0.0
Universal,1992,1.0
Universal,1993,2.0
Universal,1994,0.0
Universal,1995,2.0
Universal,1996,1.0
Universal,1997,0.0
Universal,1998,1.0
Universal,1999,1.0
Universal,2000,5.0
Universal,2001,2.0
Universal,2002,2.0
Universal,2003,0.0
Universal,2004,1.0
Universal,2005,1.0
Universal,2006,1.0
Universal,2007,1.0
Universal,2008,0.0
Universal,2009,0.0
Universal,2010,1.0
Universal,2011,1.0
Universal,2012,2.0
Universal,2013,0.0
Universal,2014,0.0
Universal,2015,1.0
Universal,2016,0.0
Universal,2017,1.0
WB,1990,2.0
WB,1991,1.0
WB,1992,1.0
WB,1993,1.0
WB,1994,0.0
WB,1995,0.0
WB,1996,1.0
WB,1997,1.0
WB,1998,0.0
WB,1999,1.0
WB,2000,0.0
WB,2001,2.0
WB,2002,1.0
WB,2003,2.0
WB,2004,1.0
WB,2005,1.0
WB,2006,2.0
WB,2007,2.0
WB,2008,1.0
WB,2009,1.0
WB,2010,1.0
WB,2011,0.0
WB,2012,1.0
WB,2013,3.0
WB,2014,1.0
WB,2015,1.0
WB,2016,3.0
WB,2017,2.0
