Studio,Year,RottenTomato
BV,1990,72.66666666666667
BV,1991,65.0
BV,1992,50.25
BV,1993,44.888888888888886
BV,1994,37.666666666666664
BV,1995,53.18181818181818
BV,1996,59.333333333333336
BV,1997,42.25
BV,1998,66.0
BV,1999,53.54545454545455
BV,2000,65.11111111111111
BV,2001,50.142857142857146
BV,2002,54.666666666666664
BV,2003,61.0
BV,2004,43.09090909090909
BV,2005,51.166666666666664
BV,2006,48.833333333333336
BV,2007,54.4
BV,2008,50.875
BV,2009,45.5
BV,2010,51.666666666666664
BV,2011,60.2
BV,2012,67.2
BV,2013,60.666666666666664
BV,2014,66.18181818181819
BV,2015,79.28571428571429
BV,2016,82.18181818181819
BV,2017,75.85714285714286
Fox,1990,42.25
Fox,1991,53.666666666666664
Fox,1992,54.76923076923077
Fox,1993,44.666666666666664
Fox,1994,45.857142857142854
Fox,1995,46.714285714285715
Fox,1996,50.77777777777778
Fox,1997,54.2
Fox,1998,59.90909090909091
Fox,1999,51.5
Fox,2000,45.875
Fox,2001,45.09090909090909
Fox,2002,57.0
Fox,2003,48.4
Fox,2004,49.55555555555556
Fox,2005,52.333333333333336
Fox,2006,45.333333333333336
Fox,2007,55.166666666666664
Fox,2008,35.9
Fox,2009,42.57142857142857
Fox,2010,48.8
Fox,2011,51.833333333333336
Fox,2012,45.0
Fox,2013,53.3
Fox,2014,66.17647058823529
Fox,2015,54.857142857142854
Fox,2016,47.22222222222222
Fox,2017,70.92307692307692
Paramount,1990,53.55555555555556
Paramount,1991,47.0
Paramount,1992,44.46153846153846
Paramount,1993,48.142857142857146
Paramount,1994,44.45454545454545
Paramount,1995,44.714285714285715
Paramount,1996,58.666666666666664
Paramount,1997,54.22222222222222
Paramount,1998,54.2
Paramount,1999,51.75
Paramount,2000,54.0
Paramount,2001,41.25
Paramount,2002,51.4
Paramount,2003,45.55555555555556
Paramount,2004,53.5
Paramount,2005,37.42857142857143
Paramount,2006,59.44444444444444
Paramount,2007,66.11111111111111
Paramount,2008,61.27272727272727
Paramount,2009,52.666666666666664
Paramount,2010,63.81818181818182
Paramount,2011,72.66666666666667
Paramount,2012,48.57142857142857
Paramount,2013,66.6
Paramount,2014,53.666666666666664
Paramount,2015,59.0
Paramount,2016,50.125
Paramount,2017,25.833333333333332
Sony,1990,67.23076923076923
Sony,1991,54.54545454545455
Sony,1992,61.6875
Sony,1993,55.35294117647059
Sony,1994,42.86666666666667
Sony,1995,53.5625
Sony,1996,46.75
Sony,1997,59.46666666666667
Sony,1998,41.875
Sony,1999,49.7
Sony,2000,49.18181818181818
Sony,2001,43.90909090909091
Sony,2002,40.416666666666664
Sony,2003,40.22222222222222
Sony,2004,44.84615384615385
Sony,2005,39.666666666666664
Sony,2006,42.3125
Sony,2007,43.416666666666664
Sony,2008,38.36363636363637
Sony,2009,43.6
Sony,2010,43.733333333333334
Sony,2011,47.888888888888886
Sony,2012,60.083333333333336
Sony,2013,52.46153846153846
Sony,2014,42.57142857142857
Sony,2015,41.23076923076923
Sony,2016,43.4
Sony,2017,51.5
Universal,1990,48.5
Universal,1991,63.5
Universal,1992,62.0
Universal,1993,78.5
Universal,1994,28.5
Universal,1995,71.0
Universal,1996,55.0
Universal,1997,47.111111111111114
Universal,1998,58.0
Universal,1999,57.75
Universal,2000,55.8235294117647
Universal,2001,50.0
Universal,2002,63.06666666666667
Universal,2003,50.86666666666667
Universal,2004,62.0
Universal,2005,53.8235294117647
Universal,2006,55.92857142857143
Universal,2007,56.46153846153846
Universal,2008,57.93333333333333
Universal,2009,54.0
Universal,2010,54.72727272727273
Universal,2011,53.90909090909091
Universal,2012,58.23076923076923
Universal,2013,52.357142857142854
Universal,2014,48.92307692307692
Universal,2015,64.8125
Universal,2016,55.285714285714285
Universal,2017,55.90909090909091
WB,1990,64.85714285714286
WB,1991,47.61538461538461
WB,1992,53.705882352941174
WB,1993,61.27777777777778
WB,1994,44.125
WB,1995,43.294117647058826
WB,1996,45.05
WB,1997,48.1578947368421
WB,1998,40.266666666666666
WB,1999,57.333333333333336
WB,2000,47.888888888888886
WB,2001,46.23529411764706
WB,2002,44.26315789473684
WB,2003,50.35294117647059
WB,2004,38.294117647058826
WB,2005,58.05882352941177
WB,2006,49.1875
WB,2007,42.26315789473684
WB,2008,43.53333333333333
WB,2009,54.57142857142857
WB,2010,40.5625
WB,2011,48.0
WB,2012,51.61538461538461
WB,2013,62.07142857142857
WB,2014,50.0625
WB,2015,45.94736842105263
WB,2016,59.714285714285715
WB,2017,60.666666666666664
